index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,roofline_tflops,roofline_percent,ok
103,unet,conv_2d_nhwc_hwcf_1x64x64x1920x3x3x640_f16xf16xf32_stride1,1,64,64,1920,3,3,640,1,f16,f32,1230.0,1836.5044,73.6561,1307.4,0.0563,True
104,unet,conv_2d_nhwc_hwcf_1x64x64x1920x1x1x640_f16xf16xf32_stride1,1,64,64,1920,1,1,640,1,f16,f32,187.0,351.0857,53.8306,1307.4,0.0412,True
105,unet,conv_2d_nhwc_hwcf_1x64x64x1280x3x3x640_f16xf16xf32_stride1,1,64,64,1280,3,3,640,1,f16,f32,847.0,1660.0732,71.3081,1307.4,0.0545,True
106,unet,conv_2d_nhwc_hwcf_1x64x64x1280x1x1x640_f16xf16xf32_stride1,1,64,64,1280,1,1,640,1,f16,f32,146.0,296.8116,45.965,1307.4,0.0352,True
107,unet,conv_2d_nhwc_hwcf_1x64x64x960x3x3x640_f16xf16xf32_stride1,1,64,64,960,3,3,640,1,f16,f32,684.0,1514.5699,66.2259,1307.4,0.0507,True
108,unet,conv_2d_nhwc_hwcf_1x64x64x960x1x1x640_f16xf16xf32_stride1,1,64,64,960,1,1,640,1,f16,f32,125.0,257.0711,40.2653,1307.4,0.0308,True
109,unet,conv_2d_nhwc_hwcf_1x128x128x640x3x3x640_f16xf16xf32_stride1,1,128,128,640,3,3,640,1,f16,f32,981.0,1702.6023,123.1355,1307.4,0.0942,True
110,unet,conv_2d_nhwc_hwcf_1x128x128x960x3x3x320_f16xf16xf32_stride1,1,128,128,960,3,3,320,1,f16,f32,817.0,1536.8672,110.8898,1307.4,0.0848,True
111,unet,conv_2d_nhwc_hwcf_1x128x128x960x1x1x320_f16xf16xf32_stride1,1,128,128,960,1,1,320,1,f16,f32,130.0,189.7761,77.4333,1307.4,0.0592,True
112,unet,conv_2d_nhwc_hwcf_1x128x128x640x3x3x320_f16xf16xf32_stride1,1,128,128,640,3,3,320,1,f16,f32,542.0,1304.776,111.4354,1307.4,0.0852,True
113,unet,conv_2d_nhwc_hwcf_1x128x128x640x1x1x320_f16xf16xf32_stride1,1,128,128,640,1,1,320,1,f16,f32,102.0,158.4526,65.793,1307.4,0.0503,True
114,unet,conv_2d_nhwc_hwcf_1x128x128x320x3x3x16_f16xf16xf32_stride1,1,128,128,320,3,3,16,1,f16,f32,145.0,126.2844,10.4134,1307.4,0.008,True
115,unet,conv_2d_nhwc_hwcf_2x128x128x16x3x3x320_f16xf16xf32_stride1,2,128,128,16,3,3,320,1,f16,f32,98.0,70.04,30.8153,1307.4,0.0236,True
116,unet,conv_2d_nhwc_hwcf_2x128x128x320x3x3x320_f16xf16xf32_stride1,2,128,128,320,3,3,320,1,f16,f32,494.0,923.259,122.2631,1307.4,0.0935,True
117,unet,conv_2d_nhwc_hwcf_2x64x64x320x3x3x320_f16xf16xf32_stride2,2,64,64,320,3,3,320,2,f16,f32,253.0,444.6133,59.6818,1307.4,0.0456,True
118,unet,conv_2d_nhwc_hwcf_2x64x64x320x3x3x640_f16xf16xf32_stride1,2,64,64,320,3,3,640,1,f16,f32,319.0,998.8552,94.6677,1307.4,0.0724,True
119,unet,conv_2d_nhwc_hwcf_2x64x64x640x3x3x640_f16xf16xf32_stride1,2,64,64,640,3,3,640,1,f16,f32,569.0,1529.23,106.1476,1307.4,0.0812,True
120,unet,conv_2d_nhwc_hwcf_2x64x64x320x1x1x640_f16xf16xf32_stride1,2,64,64,320,1,1,640,1,f16,f32,82.0,126.0308,40.92,1307.4,0.0313,True
121,unet,conv_2d_nhwc_hwcf_2x32x32x640x3x3x640_f16xf16xf32_stride2,2,32,32,640,3,3,640,2,f16,f32,465.0,635.3124,32.472,1307.4,0.0248,True
122,unet,conv_2d_nhwc_hwcf_2x32x32x640x3x3x1280_f16xf16xf32_stride1,2,32,32,640,3,3,1280,1,f16,f32,456.0,1071.2386,66.2259,1307.4,0.0507,True
123,unet,conv_2d_nhwc_hwcf_2x32x32x1280x3x3x1280_f16xf16xf32_stride1,2,32,32,1280,3,3,1280,1,f16,f32,844.0,1315.9839,71.5616,1307.4,0.0547,True
124,unet,conv_2d_nhwc_hwcf_2x32x32x640x1x1x1280_f16xf16xf32_stride1,2,32,32,640,1,1,1280,1,f16,f32,96.0,227.5556,34.9525,1307.4,0.0267,True
125,unet,conv_2d_nhwc_hwcf_2x32x32x2560x3x3x1280_f16xf16xf32_stride1,2,32,32,2560,3,3,1280,1,f16,f32,1640.0,1485.7028,73.6561,1307.4,0.0563,True
126,unet,conv_2d_nhwc_hwcf_2x32x32x2560x1x1x1280_f16xf16xf32_stride1,2,32,32,2560,1,1,1280,1,f16,f32,234.0,487.619,57.358,1307.4,0.0439,True
127,unet,conv_2d_nhwc_hwcf_2x32x32x1920x3x3x1280_f16xf16xf32_stride1,2,32,32,1920,3,3,1280,1,f16,f32,1200.0,1424.4663,75.4975,1307.4,0.0577,True
128,unet,conv_2d_nhwc_hwcf_2x32x32x1920x1x1x1280_f16xf16xf32_stride1,2,32,32,1920,1,1,1280,1,f16,f32,189.0,432.6761,53.261,1307.4,0.0407,True
129,unet,conv_2d_nhwc_hwcf_2x64x64x1280x3x3x1280_f16xf16xf32_stride1,2,64,64,1280,3,3,1280,1,f16,f32,1840.0,2577.3389,131.3,1307.4,0.1004,True
130,unet,conv_2d_nhwc_hwcf_2x64x64x1920x3x3x640_f16xf16xf32_stride1,2,64,64,1920,3,3,640,1,f16,f32,1570.0,2367.1866,115.4101,1307.4,0.0883,True
131,unet,conv_2d_nhwc_hwcf_2x64x64x1920x1x1x640_f16xf16xf32_stride1,2,64,64,1920,1,1,640,1,f16,f32,222.0,366.806,90.6877,1307.4,0.0694,True
132,unet,conv_2d_nhwc_hwcf_2x64x64x1280x3x3x640_f16xf16xf32_stride1,2,64,64,1280,3,3,640,1,f16,f32,1070.0,2081.9767,112.8934,1307.4,0.0863,True
133,unet,conv_2d_nhwc_hwcf_2x64x64x1280x1x1x640_f16xf16xf32_stride1,2,64,64,1280,1,1,640,1,f16,f32,157.0,307.9699,85.489,1307.4,0.0654,True
