index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
131,llama70bskinny,gemm_16000_8_8192_f16_f32_tB,15b61ffc3a13669e04e2db3c27d8c680,16000,8,8192,f16,N,T,,123.0,7.9882,17.05,True
132,llama70bskinny,gemm_16000_16_8192_f16_f32_tB,12e24c836a4dad224ad7512172f81d66,16000,16,8192,f16,N,T,,105.0,15.9529,39.9458,True
133,llama70bskinny,gemm_16000_32_8192_f16_f32_tB,05e1aefed3b9e2d4a6a34cb6ff45bb14,16000,32,8192,f16,N,T,,128.0,31.8121,65.536,True
134,llama70bskinny,gemm_5120_2_8192_f16_f32_tB,8666d9f077cf890d0d4016cc5c2a4eeb,5120,2,8192,f16,N,T,,85.0,1.9987,1.9738,True
135,llama70bskinny,gemm_5120_4_8192_f16_f32_tB,212c70d9314c07790fd88876c8c0828a,5120,4,8192,f16,N,T,,122.0,3.9949,2.7504,True
136,llama70bskinny,gemm_5120_8_8192_f16_f32_tB,66afbe90eced4f0bb43f63d80f95652d,5120,8,8192,f16,N,T,,102.0,7.9797,6.5793,True
137,llama70bskinny,gemm_5120_16_8192_f16_f32_tB,6d4aeb76fd3f38347e224a5a864bec25,5120,16,8192,f16,N,T,,96.0,15.9192,13.981,True
138,llama70bskinny,gemm_5120_32_8192_f16_f32_tB,8239b3767a722b2c4a59fb54e230fb89,5120,32,8192,f16,N,T,,100.0,31.6783,26.8435,True
139,llama70bskinny,gemm_8192_2_4096_f16_f32_tB,c88d65281ed1d8545fb6fddd7ce8783b,8192,2,4096,f16,N,T,,78.0,1.9985,1.7207,True
140,llama70bskinny,gemm_8192_4_4096_f16_f32_tB,9625e12fd4034b4f10b973e63736dba9,8192,4,4096,f16,N,T,,106.0,3.9941,2.5324,True
141,llama70bskinny,gemm_8192_8_4096_f16_f32_tB,bf07028946be13ef562d2154fd7b921c,8192,8,4096,f16,N,T,,88.0,7.9766,6.1008,True
142,llama70bskinny,gemm_8192_16_4096_f16_f32_tB,faa625dc51ab76bb15629da6bfd27ec0,8192,16,4096,f16,N,T,,76.0,15.9068,14.1282,True
143,llama70bskinny,gemm_8192_32_4096_f16_f32_tB,4e212922361a85799d6b0e6d707d4fa0,8192,32,4096,f16,N,T,,68.0,31.6293,31.5806,True
144,llama70bskinny,gemm_28672_2_8192_f16_f32_tB,fabe029c5441d50342f0c7f04d295a49,28672,2,8192,f16,N,T,,212.0,1.9994,4.4317,True
145,llama70bskinny,gemm_28672_4_8192_f16_f32_tB,edcee8e12b1b81c93131a1a606c65765,28672,4,8192,f16,N,T,,365.0,3.9975,5.1481,True
146,llama70bskinny,gemm_28672_8_8192_f16_f32_tB,dd5fe4a6ae02565c8ad3c1ac764c3c6a,28672,8,8192,f16,N,T,,197.0,7.99,19.0766,True
147,llama70bskinny,gemm_28672_16_8192_f16_f32_tB,eefb0274fbe69171a2461150c083312f,28672,16,8192,f16,N,T,,210.0,15.9599,35.7914,True
148,llama70bskinny,gemm_28672_32_8192_f16_f32_tB,f3c76d7bcd4a59b3838da5ab14f84ff5,28672,32,8192,f16,N,T,,212.0,31.8401,70.9075,True
149,llama70bskinny,gemm_8192_2_14336_f16_f32_tB,01e543a419e251bee0ca96b22d3bb1d6,8192,2,14336,f16,N,T,,135.0,1.9992,3.4797,True
150,llama70bskinny,gemm_8192_4_14336_f16_f32_tB,d9c695bbf3a13c8e9ddc7c178646f481,8192,4,14336,f16,N,T,,209.0,3.9969,4.4953,True
151,llama70bskinny,gemm_8192_8_14336_f16_f32_tB,431199df97e1710fa364a7160cec3b95,8192,8,14336,f16,N,T,,151.0,7.9877,12.444,True
152,llama70bskinny,gemm_8192_16_14336_f16_f32_tB,8b30d1d68e83229aa4310537c1ee3ba1,8192,16,14336,f16,N,T,,132.0,15.951,28.4704,True
153,llama70bskinny,gemm_8192_32_14336_f16_f32_tB,c3864456d031a88f04eba87929b65e5c,8192,32,14336,f16,N,T,,118.0,31.8048,63.6965,True
154,llama70bskinny,gemm_8000_2_8192_f16_f32_tB,c09e1d7ab2151ddd8c87fa2fb6655840,8000,2,8192,f16,N,T,,103.0,1.999,2.5451,True
155,llama70bskinny,gemm_8000_4_8192_f16_f32_tB,a99491f3fe4320f6dd74d3ae476b4360,8000,4,8192,f16,N,T,,145.0,3.9961,3.6158,True
156,llama70bskinny,gemm_8000_8_8192_f16_f32_tB,9da5feca4cdec1ad6463f3b7b32f1f2e,8000,8,8192,f16,N,T,,102.0,7.9842,10.2802,True
157,llama70bskinny,gemm_8000_16_8192_f16_f32_tB,080f294d6cabf580a42db2e5a19b443a,8000,16,8192,f16,N,T,,90.0,15.937,23.3017,True
158,llama70bskinny,gemm_8000_32_8192_f16_f32_tB,e062a0fd2ad3e96d3473e02270547b88,8000,32,8192,f16,N,T,,99.0,31.749,42.3667,True
159,llama70bskinny,gemm_2560_2_8192_f16_f32_tB,c1c853fb40bec0c7383fab0009c7207c,2560,2,8192,f16,N,T,,71.0,1.998,1.1815,True
