index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,runtime_dim,mean_microseconds,arithmetic_intensity,tflops,ok
87,llama70bskinny,gemm_8192_8_8192_f16_f32_tB,6ae4a59cdce6edfeafa86022ccb1ef4f,8192,8,8192,f16,N,T,,235.0,7.9844,4.5691,True
88,llama70bskinny,gemm_8192_16_8192_f16_f32_tB,55adc5c37d3529100b55c461e548d25f,8192,16,8192,f16,N,T,,240.0,15.9377,8.9478,True
89,llama70bskinny,gemm_8192_32_8192_f16_f32_tB,8c8466cd5d5cfe5d9cde12ef00145714,8192,32,8192,f16,N,T,,245.0,31.7519,17.5305,True
90,llama70bskinny,gemm_57344_2_8192_f16_f32_tB,c252b8f0075e4218d9c2b3625274e4d3,57344,2,8192,f16,N,T,,374.0,1.9994,5.0242,True
91,llama70bskinny,gemm_57344_4_8192_f16_f32_tB,da992a2e0c8342d948a350bec197c9d3,57344,4,8192,f16,N,T,,362.0,3.9978,10.3815,True
92,llama70bskinny,gemm_57344_8_8192_f16_f32_tB,15caf86779b8d5d6d3f385d573e62ed1,57344,8,8192,f16,N,T,,356.0,7.9911,21.1129,True
93,llama70bskinny,gemm_57344_16_8192_f16_f32_tB,f162bd7187829de5dcf66b26b5cfd904,57344,16,8192,f16,N,T,,362.0,15.9644,41.5259,True
94,llama70bskinny,gemm_57344_32_8192_f16_f32_tB,c2c36408d1184f10871fb741ff52d10d,57344,32,8192,f16,N,T,,402.0,31.8578,74.788,True
95,llama70bskinny,gemm_8192_2_28672_f16_f32_tB,949b68e5eb975b3735a8753a8b2b9058,8192,2,28672,f16,N,T,,669.0,1.9994,1.4044,True
96,llama70bskinny,gemm_8192_4_28672_f16_f32_tB,7d4eb51b814fa955868124f76cb90cfd,8192,4,28672,f16,N,T,,676.0,3.9975,2.7797,True
97,llama70bskinny,gemm_8192_8_28672_f16_f32_tB,7423ecfa196f99cd579d00741b84da02,8192,8,28672,f16,N,T,,677.0,7.99,5.5511,True
98,llama70bskinny,gemm_8192_16_28672_f16_f32_tB,7ca5af5d887e4980d4bae754659986a3,8192,16,28672,f16,N,T,,694.0,15.9599,10.8302,True
99,llama70bskinny,gemm_8192_32_28672_f16_f32_tB,807967927256b1786056ad3fadfc5018,8192,32,28672,f16,N,T,,720.0,31.8401,20.8783,True
100,llama70bskinny,gemm_16000_2_8192_f16_f32_tB,6430b05f0447822c9864a988d0e8ac5c,16000,2,8192,f16,N,T,,237.0,1.9993,2.2122,True
101,llama70bskinny,gemm_16000_4_8192_f16_f32_tB,8fe953634ca78e0ed7da8662d2fcb29f,16000,4,8192,f16,N,T,,231.0,3.997,4.5393,True
102,llama70bskinny,gemm_16000_8_8192_f16_f32_tB,8e1cf35b2612d96155d844e48439f04a,16000,8,8192,f16,N,T,,232.0,7.9882,9.0394,True
103,llama70bskinny,gemm_16000_16_8192_f16_f32_tB,1b5d3c99a74b9315bed377f003fd7d01,16000,16,8192,f16,N,T,,232.0,15.9529,18.0789,True
104,llama70bskinny,gemm_16000_32_8192_f16_f32_tB,e0efe2acdb29df35a3c67bf52ff23b3d,16000,32,8192,f16,N,T,,257.0,31.8121,32.6405,True
105,llama70bskinny,gemm_5120_2_8192_f16_f32_tB,452c7fca8e1a8bb5e2cd877743c34f35,5120,2,8192,f16,N,T,,211.0,1.9987,0.7951,True
106,llama70bskinny,gemm_5120_4_8192_f16_f32_tB,b091921a28f7a430a19e355c49874378,5120,4,8192,f16,N,T,,202.0,3.9949,1.6611,True
107,llama70bskinny,gemm_5120_8_8192_f16_f32_tB,1ea4be929e6268b237df80356215185f,5120,8,8192,f16,N,T,,227.0,7.9797,2.9563,True
108,llama70bskinny,gemm_5120_16_8192_f16_f32_tB,b40895f51a3ec74fded546bfedd66dae,5120,16,8192,f16,N,T,,235.0,15.9192,5.7114,True
109,llama70bskinny,gemm_5120_32_8192_f16_f32_tB,17088de80cb5e5e8dca220e15abda4a9,5120,32,8192,f16,N,T,,218.0,31.6783,12.3136,True
110,llama70bskinny,gemm_8192_2_4096_f16_f32_tB,c2ca2a22684d9786ababba1fbbcd4098,8192,2,4096,f16,N,T,,138.0,1.9985,0.9726,True
111,llama70bskinny,gemm_8192_4_4096_f16_f32_tB,28fa7641abbaf228c41e5755f8ee570d,8192,4,4096,f16,N,T,,141.0,3.9941,1.9038,True
112,llama70bskinny,gemm_8192_8_4096_f16_f32_tB,cd6ec6b269ef87752949d50f8fc94f4c,8192,8,4096,f16,N,T,,141.0,7.9766,3.8076,True
113,llama70bskinny,gemm_8192_16_4096_f16_f32_tB,9a6a9e7721f38601d0b759ed5099fc10,8192,16,4096,f16,N,T,,142.0,15.9068,7.5616,True
114,llama70bskinny,gemm_8192_32_4096_f16_f32_tB,8cdeccd3d96feea7e18134a1e289042e,8192,32,4096,f16,N,T,,142.0,31.6293,15.1231,True
115,llama70bskinny,gemm_28672_2_8192_f16_f32_tB,d566cf2fc566d21a13e7d95436d990bc,28672,2,8192,f16,N,T,,266.0,1.9994,3.532,True
116,llama70bskinny,gemm_28672_4_8192_f16_f32_tB,3106c656e0a701d5116a762ca89ae4a6,28672,4,8192,f16,N,T,,293.0,3.9975,6.4131,True
117,llama70bskinny,gemm_28672_8_8192_f16_f32_tB,87036fada6da46b5d1d6cf85d1bea1b6,28672,8,8192,f16,N,T,,265.0,7.99,14.1815,True
118,llama70bskinny,gemm_28672_16_8192_f16_f32_tB,cd98b8b8b388f1ab3c7874366e953e9f,28672,16,8192,f16,N,T,,271.0,15.9599,27.735,True
119,llama70bskinny,gemm_28672_32_8192_f16_f32_tB,c57b248c335d9728eebd055ea1e5ae81,28672,32,8192,f16,N,T,,316.0,31.8401,47.5708,True
120,llama70bskinny,gemm_8192_2_14336_f16_f32_tB,627aa2d4ca525f471d5a205b23b0d8a9,8192,2,14336,f16,N,T,,312.0,1.9992,1.5056,True
121,llama70bskinny,gemm_8192_4_14336_f16_f32_tB,53aaaa15a0d7aaf070659ad2c0042505,8192,4,14336,f16,N,T,,320.0,3.9969,2.936,True
122,llama70bskinny,gemm_8192_8_14336_f16_f32_tB,d2a2a895c45542d674fac15f2165f550,8192,8,14336,f16,N,T,,320.0,7.9877,5.872,True
123,llama70bskinny,gemm_8192_16_14336_f16_f32_tB,c99b452c52f99212e194c1d2193f0951,8192,16,14336,f16,N,T,,341.0,15.951,11.0208,True
124,llama70bskinny,gemm_8192_32_14336_f16_f32_tB,f793cd078856ef5ad6870f6325eef652,8192,32,14336,f16,N,T,,341.0,31.8048,22.0416,True
125,llama70bskinny,gemm_8000_2_8192_f16_f32_tB,d704f160b6e446beefd86453f68658c3,8000,2,8192,f16,N,T,,204.0,1.999,1.285,True
126,llama70bskinny,gemm_8000_4_8192_f16_f32_tB,921da7f5bc515ce80d1fcfd089c23b61,8000,4,8192,f16,N,T,,209.0,3.9961,2.5086,True
127,llama70bskinny,gemm_8000_8_8192_f16_f32_tB,42e8a94cd0883e6e0dbf8cbd9486e755,8000,8,8192,f16,N,T,,214.0,7.9842,4.8999,True
128,llama70bskinny,gemm_8000_16_8192_f16_f32_tB,c4de9e53dc4b3abf923bf7da3a980cec,8000,16,8192,f16,N,T,,218.0,15.937,9.62,True
129,llama70bskinny,gemm_8000_32_8192_f16_f32_tB,b6a5f9ad551ca35ba7b7469b1028bc88,8000,32,8192,f16,N,T,,222.0,31.749,18.8933,True
130,llama70bskinny,gemm_2560_2_8192_f16_f32_tB,21d52bcea909c68105123c0f55aca8e2,2560,2,8192,f16,N,T,,196.0,1.998,0.428,True
131,llama70bskinny,gemm_2560_4_8192_f16_f32_tB,ad5e1d036467988ac004aeafb4b66970,2560,4,8192,f16,N,T,,189.0,3.9918,0.8877,True
132,llama70bskinny,gemm_2560_8_8192_f16_f32_tB,4ef8e2c0234fad1f98f24a0c07fa9d20,2560,8,8192,f16,N,T,,192.0,7.9673,1.7476,True
133,llama70bskinny,gemm_2560_16_8192_f16_f32_tB,3e01944ffecb63c67ed1e9e9416e5721,2560,16,8192,f16,N,T,,189.0,15.8698,3.5507,True
134,llama70bskinny,gemm_2560_32_8192_f16_f32_tB,22babdbaebfcff94439e25e111b758ed,2560,32,8192,f16,N,T,,198.0,31.4835,6.7787,True
135,llama70bskinny,gemm_14336_2_8192_f16_f32_tB,6ca4a980ba4957444efbeda988c64ec2,14336,2,8192,f16,N,T,,235.0,1.9992,1.999,True
136,llama70bskinny,gemm_14336_4_8192_f16_f32_tB,28707e00c68586f4450261a33750d469,14336,4,8192,f16,N,T,,230.0,3.9969,4.0849,True
137,llama70bskinny,gemm_14336_8_8192_f16_f32_tB,140e45dc63699679c78fd771867c7411,14336,8,8192,f16,N,T,,247.0,7.9877,7.6075,True
138,llama70bskinny,gemm_14336_16_8192_f16_f32_tB,8d17eb814a01b41fb792e26509ec54ca,14336,16,8192,f16,N,T,,233.0,15.951,16.1292,True
139,llama70bskinny,gemm_14336_32_8192_f16_f32_tB,07703f03010d72245a2e27abb7b7a2e8,14336,32,8192,f16,N,T,,257.0,31.8048,29.2459,True
140,llama70bskinny,gemm_8192_2_7168_f16_f32_tB,cab85dc15b2d533948716c0612247c31,8192,2,7168,f16,N,T,,184.0,1.999,1.2765,True
141,llama70bskinny,gemm_8192_4_7168_f16_f32_tB,c81a08dfae65d52008266b910b2d1399,8192,4,7168,f16,N,T,,188.0,3.9958,2.4987,True
142,llama70bskinny,gemm_8192_8_7168_f16_f32_tB,1df04bc26c079041cc7949b725401e4e,8192,8,7168,f16,N,T,,194.0,7.9833,4.8429,True
143,llama70bskinny,gemm_8192_16_7168_f16_f32_tB,5c9ba81ba3696dc8b8d8fcf0ea5145aa,8192,16,7168,f16,N,T,,190.0,15.9333,9.8897,True
144,llama70bskinny,gemm_8192_32_7168_f16_f32_tB,8ff3c37f88884f73bb1fda2ae27bf6be,8192,32,7168,f16,N,T,,196.0,31.7344,19.174,True
145,llama70bskinny,gemm_4000_2_8192_f16_f32_tB,632672fd7c7c34ce2b62cc63ff79bfa3,4000,2,8192,f16,N,T,,220.0,1.9985,0.5958,True
146,llama70bskinny,gemm_4000_4_8192_f16_f32_tB,5c43f864fa9c364916d6d2d393b20056,4000,4,8192,f16,N,T,,216.0,3.9941,1.2136,True
147,llama70bskinny,gemm_4000_8_8192_f16_f32_tB,de306a5a7515985db4f00850e114ff88,4000,8,8192,f16,N,T,,220.0,7.9763,2.3831,True
148,llama70bskinny,gemm_4000_16_8192_f16_f32_tB,89cfa82bb9e810fc35c4fe4ed07fc232,4000,16,8192,f16,N,T,,227.0,15.9053,4.6193,True
149,llama70bskinny,gemm_4000_32_8192_f16_f32_tB,0a38de1fb219bc97fa61d1a50a706111,4000,32,8192,f16,N,T,,230.0,31.6235,9.1181,True
150,llama70bskinny,gemm_1280_2_8192_f16_f32_tB,13f3a5dd3dc7c3430afc261b9254c0ce,1280,2,8192,f16,N,T,,171.0,1.9964,0.2453,True
151,llama70bskinny,gemm_1280_4_8192_f16_f32_tB,1fbd25b9613af19f48a0ce7b074cded5,1280,4,8192,f16,N,T,,164.0,3.9856,0.5115,True
152,llama70bskinny,gemm_1280_8_8192_f16_f32_tB,aa53ffb0180615f4930b8b6c04e7373e,1280,8,8192,f16,N,T,,165.0,7.9426,1.0168,True
153,llama70bskinny,gemm_1280_16_8192_f16_f32_tB,6f3a22074b3dcd57e962159ef3b849b2,1280,16,8192,f16,N,T,,171.0,15.772,1.9622,True
154,llama70bskinny,gemm_1280_32_8192_f16_f32_tB,190056a8c10f1266d6d3a633c6e07fbd,1280,32,8192,f16,N,T,,182.0,31.101,3.6873,True
155,llama70bskinny,gemm_7168_2_8192_f16_f32_tB,7e33334244356ab5a37c03d3bd388fd0,7168,2,8192,f16,N,T,,212.0,1.999,1.1079,True
156,llama70bskinny,gemm_7168_4_8192_f16_f32_tB,86fad17fedbfb485d3aa2b2f7caeee99,7168,4,8192,f16,N,T,,209.0,3.9958,2.2477,True
157,llama70bskinny,gemm_7168_8_8192_f16_f32_tB,80667a86a2ae6edeeddd60fafc410ca8,7168,8,8192,f16,N,T,,211.0,7.9833,4.4527,True
158,llama70bskinny,gemm_7168_16_8192_f16_f32_tB,9d7daa63dbdaf969e1d44549d6579712,7168,16,8192,f16,N,T,,213.0,15.9333,8.8218,True
159,llama70bskinny,gemm_7168_32_8192_f16_f32_tB,b3e287404fa524cb6151397bbaf1f724,7168,32,8192,f16,N,T,,209.0,31.7344,17.9813,True
160,gpt4compute,gemm_2048_8192_8192_f16_f32,01a84b28662d6781d74186e589a1d999,2048,8192,8192,f16,N,N,,1040.0,1365.3333,264.3057,True
