index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
105,llm,attention_bmnk1k2_192x4096x128x128x4096xf16,192,4096,128,128,4096,f16,3270.0,2048.0,504.3631,True
106,llm,attention_bmnk1k2_192x8192x64x64x8192xf16,192,8192,64,64,8192,f16,6350.0,4096.0,519.4543,True
107,llm,attention_bmnk1k2_192x8192x128x128x8192xf16,192,8192,128,128,8192,f16,12400.0,4096.0,532.0218,True
108,llm,attention_bmnk1k2_192x16384x64x64x16384xf16,192,16384,64,64,16384,f16,24600.0,8192.0,536.3471,True
109,llm,attention_bmnk1k2_192x16384x128x128x16384xf16,192,16384,128,128,16384,f16,48400.0,8192.0,545.2124,True
110,llm,attention_bmnk1k2_1x1024x64x64x1024xf8E4M3FNUZ,1,1024,64,64,1024,f8E4M3FNUZ,81.0,1024.0,3.314,True
111,llm,attention_bmnk1k2_1x1024x128x128x1024xf8E4M3FNUZ,1,1024,128,128,1024,f8E4M3FNUZ,85.0,1024.0,6.3161,True
112,llm,attention_bmnk1k2_1x2048x64x64x2048xf8E4M3FNUZ,1,2048,64,64,2048,f8E4M3FNUZ,107.0,2048.0,10.035,True
113,llm,attention_bmnk1k2_1x2048x128x128x2048xf8E4M3FNUZ,1,2048,128,128,2048,f8E4M3FNUZ,115.0,2048.0,18.6738,True
114,sdxl_unet,attention_bmnk1k2_1x4096x64x64x4096xf8E4M3FNUZ,1,4096,64,64,4096,f8E4M3FNUZ,157.0,4096.0,27.3565,True
115,llm,attention_bmnk1k2_1x4096x128x128x4096xf8E4M3FNUZ,1,4096,128,128,4096,f8E4M3FNUZ,156.0,4096.0,55.0637,True
116,llm,attention_bmnk1k2_1x8192x64x64x8192xf8E4M3FNUZ,1,8192,64,64,8192,f8E4M3FNUZ,253.0,8192.0,67.9046,True
117,llm,attention_bmnk1k2_1x8192x128x128x8192xf8E4M3FNUZ,1,8192,128,128,8192,f8E4M3FNUZ,261.0,8192.0,131.6465,True
118,llm,attention_bmnk1k2_1x16384x64x64x16384xf8E4M3FNUZ,1,16384,64,64,16384,f8E4M3FNUZ,445.0,16384.0,154.4258,True
119,llm,attention_bmnk1k2_1x16384x128x128x16384xf8E4M3FNUZ,1,16384,128,128,16384,f8E4M3FNUZ,929.0,16384.0,147.9429,True
120,sdxl_unet,attention_bmnk1k2_2x1024x64x64x1024xf8E4M3FNUZ,2,1024,64,64,1024,f8E4M3FNUZ,84.0,1024.0,6.3913,True
121,llm,attention_bmnk1k2_2x1024x128x128x1024xf8E4M3FNUZ,2,1024,128,128,1024,f8E4M3FNUZ,84.0,1024.0,12.7826,True
122,llm,attention_bmnk1k2_2x2048x64x64x2048xf8E4M3FNUZ,2,2048,64,64,2048,f8E4M3FNUZ,107.0,2048.0,20.0699,True
123,llm,attention_bmnk1k2_2x2048x128x128x2048xf8E4M3FNUZ,2,2048,128,128,2048,f8E4M3FNUZ,110.0,2048.0,39.0452,True
124,llm,attention_bmnk1k2_2x4096x64x64x4096xf8E4M3FNUZ,2,4096,64,64,4096,f8E4M3FNUZ,162.0,4096.0,53.0243,True
125,llm,attention_bmnk1k2_2x4096x128x128x4096xf8E4M3FNUZ,2,4096,128,128,4096,f8E4M3FNUZ,159.0,4096.0,108.0495,True
126,llm,attention_bmnk1k2_2x8192x64x64x8192xf8E4M3FNUZ,2,8192,64,64,8192,f8E4M3FNUZ,256.0,8192.0,134.2177,True
127,llm,attention_bmnk1k2_2x8192x128x128x8192xf8E4M3FNUZ,2,8192,128,128,8192,f8E4M3FNUZ,478.0,8192.0,143.7646,True
128,llm,attention_bmnk1k2_2x16384x64x64x16384xf8E4M3FNUZ,2,16384,64,64,16384,f8E4M3FNUZ,653.0,16384.0,210.4731,True
129,llm,attention_bmnk1k2_2x16384x128x128x16384xf8E4M3FNUZ,2,16384,128,128,16384,f8E4M3FNUZ,1780.0,16384.0,154.4258,True
130,llm,attention_bmnk1k2_4x1024x64x64x1024xf8E4M3FNUZ,4,1024,64,64,1024,f8E4M3FNUZ,80.0,1024.0,13.4218,True
131,llm,attention_bmnk1k2_4x1024x128x128x1024xf8E4M3FNUZ,4,1024,128,128,1024,f8E4M3FNUZ,78.0,1024.0,27.5318,True
132,llm,attention_bmnk1k2_4x2048x64x64x2048xf8E4M3FNUZ,4,2048,64,64,2048,f8E4M3FNUZ,104.0,2048.0,41.2978,True
133,llm,attention_bmnk1k2_4x2048x128x128x2048xf8E4M3FNUZ,4,2048,128,128,2048,f8E4M3FNUZ,110.0,2048.0,78.0903,True
134,sdxl_unet,attention_bmnk1k2_4x4096x64x64x4096xf8E4M3FNUZ,4,4096,64,64,4096,f8E4M3FNUZ,154.0,4096.0,111.5576,True
135,llm,attention_bmnk1k2_4x4096x128x128x4096xf8E4M3FNUZ,4,4096,128,128,4096,f8E4M3FNUZ,272.0,4096.0,126.3226,True
136,llm,attention_bmnk1k2_4x8192x64x64x8192xf8E4M3FNUZ,4,8192,64,64,8192,f8E4M3FNUZ,361.0,8192.0,190.3587,True
137,llm,attention_bmnk1k2_4x8192x128x128x8192xf8E4M3FNUZ,4,8192,128,128,8192,f8E4M3FNUZ,916.0,8192.0,150.0425,True
138,llm,attention_bmnk1k2_4x16384x64x64x16384xf8E4M3FNUZ,4,16384,64,64,16384,f8E4M3FNUZ,1210.0,16384.0,227.1718,True
139,llm,attention_bmnk1k2_4x16384x128x128x16384xf8E4M3FNUZ,4,16384,128,128,16384,f8E4M3FNUZ,3090.0,16384.0,177.9145,True
140,sdxl_unet,attention_bmnk1k2_8x1024x64x64x1024xf8E4M3FNUZ,8,1024,64,64,1024,f8E4M3FNUZ,82.0,1024.0,26.1888,True
141,llm,attention_bmnk1k2_8x1024x128x128x1024xf8E4M3FNUZ,8,1024,128,128,1024,f8E4M3FNUZ,84.0,1024.0,51.1306,True
142,llm,attention_bmnk1k2_8x2048x64x64x2048xf8E4M3FNUZ,8,2048,64,64,2048,f8E4M3FNUZ,106.0,2048.0,81.0371,True
143,llm,attention_bmnk1k2_8x2048x128x128x2048xf8E4M3FNUZ,8,2048,128,128,2048,f8E4M3FNUZ,166.0,2048.0,103.4932,True
144,llm,attention_bmnk1k2_8x4096x64x64x4096xf8E4M3FNUZ,8,4096,64,64,4096,f8E4M3FNUZ,216.0,4096.0,159.0729,True
145,llm,attention_bmnk1k2_8x4096x128x128x4096xf8E4M3FNUZ,8,4096,128,128,4096,f8E4M3FNUZ,485.0,4096.0,141.6896,True
146,llm,attention_bmnk1k2_8x8192x64x64x8192xf8E4M3FNUZ,8,8192,64,64,8192,f8E4M3FNUZ,631.0,8192.0,217.8113,True
147,llm,attention_bmnk1k2_8x8192x128x128x8192xf8E4M3FNUZ,8,8192,128,128,8192,f8E4M3FNUZ,1560.0,8192.0,176.2038,True
148,llm,attention_bmnk1k2_8x16384x64x64x16384xf8E4M3FNUZ,8,16384,64,64,16384,f8E4M3FNUZ,2050.0,16384.0,268.1736,True
149,llm,attention_bmnk1k2_8x16384x128x128x16384xf8E4M3FNUZ,8,16384,128,128,16384,f8E4M3FNUZ,6120.0,16384.0,179.6588,True
150,llm,attention_bmnk1k2_16x1024x64x64x1024xf8E4M3FNUZ,16,1024,64,64,1024,f8E4M3FNUZ,80.0,1024.0,53.6871,True
151,llm,attention_bmnk1k2_16x1024x128x128x1024xf8E4M3FNUZ,16,1024,128,128,1024,f8E4M3FNUZ,114.0,1024.0,75.3503,True
152,llm,attention_bmnk1k2_16x2048x64x64x2048xf8E4M3FNUZ,16,2048,64,64,2048,f8E4M3FNUZ,134.0,2048.0,128.208,True
153,llm,attention_bmnk1k2_16x2048x128x128x2048xf8E4M3FNUZ,16,2048,128,128,2048,f8E4M3FNUZ,276.0,2048.0,124.4918,True
154,llm,attention_bmnk1k2_16x4096x64x64x4096xf8E4M3FNUZ,16,4096,64,64,4096,f8E4M3FNUZ,347.0,4096.0,198.0388,True
155,llm,attention_bmnk1k2_16x4096x128x128x4096xf8E4M3FNUZ,16,4096,128,128,4096,f8E4M3FNUZ,801.0,4096.0,171.5842,True
156,llm,attention_bmnk1k2_16x8192x64x64x8192xf8E4M3FNUZ,16,8192,64,64,8192,f8E4M3FNUZ,1060.0,8192.0,259.3188,True
157,llm,attention_bmnk1k2_16x8192x128x128x8192xf8E4M3FNUZ,16,8192,128,128,8192,f8E4M3FNUZ,3050.0,8192.0,180.2478,True
158,llm,attention_bmnk1k2_16x16384x64x64x16384xf8E4M3FNUZ,16,16384,64,64,16384,f8E4M3FNUZ,3990.0,16384.0,275.5668,True
159,llm,attention_bmnk1k2_16x16384x128x128x16384xf8E4M3FNUZ,16,16384,128,128,16384,f8E4M3FNUZ,11800.0,16384.0,186.3579,True
160,llm,attention_bmnk1k2_32x1024x64x64x1024xf8E4M3FNUZ,32,1024,64,64,1024,f8E4M3FNUZ,104.0,1024.0,82.5955,True
161,llm,attention_bmnk1k2_32x1024x128x128x1024xf8E4M3FNUZ,32,1024,128,128,1024,f8E4M3FNUZ,170.0,1024.0,101.0581,True
162,llm,attention_bmnk1k2_32x2048x64x64x2048xf8E4M3FNUZ,32,2048,64,64,2048,f8E4M3FNUZ,203.0,2048.0,169.2598,True
163,llm,attention_bmnk1k2_32x2048x128x128x2048xf8E4M3FNUZ,32,2048,128,128,2048,f8E4M3FNUZ,449.0,2048.0,153.0501,True
164,llm,attention_bmnk1k2_32x4096x64x64x4096xf8E4M3FNUZ,32,4096,64,64,4096,f8E4M3FNUZ,552.0,4096.0,248.9836,True
165,llm,attention_bmnk1k2_32x4096x128x128x4096xf8E4M3FNUZ,32,4096,128,128,4096,f8E4M3FNUZ,1530.0,4096.0,179.6588,True
166,llm,attention_bmnk1k2_32x8192x64x64x8192xf8E4M3FNUZ,32,8192,64,64,8192,f8E4M3FNUZ,1990.0,8192.0,276.2592,True
167,llm,attention_bmnk1k2_32x8192x128x128x8192xf8E4M3FNUZ,32,8192,128,128,8192,f8E4M3FNUZ,5880.0,8192.0,186.9918,True
168,llm,attention_bmnk1k2_32x16384x64x64x16384xf8E4M3FNUZ,32,16384,64,64,16384,f8E4M3FNUZ,7810.0,16384.0,281.5651,True
169,llm,attention_bmnk1k2_32x16384x128x128x16384xf8E4M3FNUZ,32,16384,128,128,16384,f8E4M3FNUZ,23500.0,16384.0,187.1509,True
170,llm,attention_bmnk1k2_48x1024x64x64x1024xf8E4M3FNUZ,48,1024,64,64,1024,f8E4M3FNUZ,121.0,1024.0,106.4868,True
171,llm,attention_bmnk1k2_48x1024x128x128x1024xf8E4M3FNUZ,48,1024,128,128,1024,f8E4M3FNUZ,227.0,1024.0,113.5234,True
172,llm,attention_bmnk1k2_48x2048x64x64x2048xf8E4M3FNUZ,48,2048,64,64,2048,f8E4M3FNUZ,272.0,2048.0,189.4839,True
173,llm,attention_bmnk1k2_48x2048x128x128x2048xf8E4M3FNUZ,48,2048,128,128,2048,f8E4M3FNUZ,643.0,2048.0,160.3098,True
174,llm,attention_bmnk1k2_48x4096x64x64x4096xf8E4M3FNUZ,48,4096,64,64,4096,f8E4M3FNUZ,820.0,4096.0,251.4127,True
175,llm,attention_bmnk1k2_48x4096x128x128x4096xf8E4M3FNUZ,48,4096,128,128,4096,f8E4M3FNUZ,2260.0,4096.0,182.4411,True
176,llm,attention_bmnk1k2_48x8192x64x64x8192xf8E4M3FNUZ,48,8192,64,64,8192,f8E4M3FNUZ,3000.0,8192.0,274.8779,True
177,llm,attention_bmnk1k2_48x8192x128x128x8192xf8E4M3FNUZ,48,8192,128,128,8192,f8E4M3FNUZ,8880.0,8192.0,185.7283,True
178,llm,attention_bmnk1k2_48x16384x64x64x16384xf8E4M3FNUZ,48,16384,64,64,16384,f8E4M3FNUZ,11500.0,16384.0,286.8291,True
179,llm,attention_bmnk1k2_48x16384x128x128x16384xf8E4M3FNUZ,48,16384,128,128,16384,f8E4M3FNUZ,35100.0,16384.0,187.9507,True
180,llm,attention_bmnk1k2_64x1024x64x64x1024xf8E4M3FNUZ,64,1024,64,64,1024,f8E4M3FNUZ,138.0,1024.0,124.4918,True
181,llm,attention_bmnk1k2_64x1024x128x128x1024xf8E4M3FNUZ,64,1024,128,128,1024,f8E4M3FNUZ,253.0,1024.0,135.8092,True
182,llm,attention_bmnk1k2_64x2048x64x64x2048xf8E4M3FNUZ,64,2048,64,64,2048,f8E4M3FNUZ,317.0,2048.0,216.7807,True
183,llm,attention_bmnk1k2_64x2048x128x128x2048xf8E4M3FNUZ,64,2048,128,128,2048,f8E4M3FNUZ,818.0,2048.0,168.0183,True
184,llm,attention_bmnk1k2_64x4096x64x64x4096xf8E4M3FNUZ,64,4096,64,64,4096,f8E4M3FNUZ,1080.0,4096.0,254.5166,True
185,llm,attention_bmnk1k2_64x4096x128x128x4096xf8E4M3FNUZ,64,4096,128,128,4096,f8E4M3FNUZ,2920.0,4096.0,188.2725,True
